report,label,authority
بلاغ عن تلوث مياه في حي الرياض بالقرب من السوق,تلوث مياه,وزارة البيئة
مواطن يبلغ عن غذاء فاسد في حي النخيل,غذاء فاسد,هيئة الغذاء والدواء
بلاغ وارد يتضمن ازدحام مروري في حي النخيل,ازدحام مروري,المرور
تم رصد حيوان ضال في منطقة الحديقة,حيوان ضال,البلدية
اشتباه بحدوث حادث مروري في حي الصحافة,حادث مروري,المرور
بلاغ عن غذاء فاسد في حي الجامعة بالقرب من الحديقة,غذاء فاسد,هيئة الغذاء والدواء
بلاغ عاجل عن تهريب الآن في حي الفلاح,تهريب,الجمارك
تم رصد تهريب في منطقة المستشفى,تهريب,الجمارك
شوهد غذاء فاسد عند المستشفى في حي الياسمين,غذاء فاسد,هيئة الغذاء والدواء
مواطن يبلغ عن احتجاز في مصعد في حي الياسمين,احتجاز في مصعد,الدفاع المدني
بلاغ عن مخالفات تجارية في حي الصحافة بالقرب من المستشفى,مخالفات تجارية,وزارة التجارة
تم الإبلاغ عن ماس كهربائي في حي الجامعة,ماس كهربائي,الدفاع المدني
بلاغ وارد يتضمن مخالفات تجارية في حي النرجس,مخالفات تجارية,وزارة التجارة
شوهد تهديد أمني عند الطريق السريع في حي الفلاح,تهديد أمني,أمن الدولة
شوهد تهديد أمني عند المنطقة الصناعية في حي السلام,تهديد أمني,أمن الدولة
مواطن يبلغ عن غرق في حي السلام,غرق,حرس الحدود
بلاغ عن حيوان ضال في حي الياسمين بالقرب من المركز التجاري,حيوان ضال,البلدية
بلاغ عاجل عن حيوان ضال الآن في حي الجامعة,حيوان ضال,البلدية
بلاغ وارد يتضمن تهريب في حي النخيل,تهريب,الجمارك
تمت ملاحظة حالة حيوان ضال ويجب التحرك في حي الرياض,حيوان ضال,البلدية
تمت ملاحظة حالة تلوث مياه ويجب التحرك في حي الجامعة,تلوث مياه,وزارة البيئة
اشتباه بحدوث انقلاب مركبة في حي الفلاح,انقلاب مركبة,المرور
بلاغ وارد يتضمن غذاء فاسد في حي النخيل,غذاء فاسد,هيئة الغذاء والدواء
بلاغ عاجل عن حيوان ضال الآن في حي الفلاح,حيوان ضال,البلدية
تمت ملاحظة حالة تهريب ويجب التحرك في حي النخيل,تهريب,الجمارك
وجود تلوث مياه وتم طلب التدخل في حي الجامعة,تلوث مياه,وزارة البيئة
تمت ملاحظة حالة تلوث مياه ويجب التحرك في حي الصحافة,تلوث مياه,وزارة البيئة
وجود مخالفات تجارية وتم طلب التدخل في حي السلام,مخالفات تجارية,وزارة التجارة
اشتباه بحدوث مشاجرة في حي الجامعة,مشاجرة,الشرطة
وجود تهريب وتم طلب التدخل في حي الورد,تهريب,الجمارك
تم الإبلاغ عن تهريب في حي النخيل,تهريب,الجمارك
بلاغ عن تهريب في حي النخيل بالقرب من المدرسة,تهريب,الجمارك
تمت ملاحظة حالة تلوث مياه ويجب التحرك في حي النرجس,تلوث مياه,وزارة البيئة
تم رصد حادثة بحرية في منطقة المستشفى,حادثة بحرية,حرس الحدود
تم الإبلاغ عن تسرب غاز في حي الخليج,تسرب غاز,الدفاع المدني
تم الإبلاغ عن غذاء فاسد في حي الخليج,غذاء فاسد,هيئة الغذاء والدواء
تمت ملاحظة حالة حيوان ضال ويجب التحرك في حي الرياض,حيوان ضال,البلدية
تم الإبلاغ عن احتجاز في مصعد في حي الرياض,احتجاز في مصعد,الدفاع المدني
تم رصد غرق في منطقة المجمع التجاري,غرق,حرس الحدود
تم رصد تسرب غاز في منطقة الحديقة,تسرب غاز,الدفاع المدني
وجود حريق وتم طلب التدخل في حي السلام,حريق,الدفاع المدني
تم الإبلاغ عن حيوان ضال في حي الخليج,حيوان ضال,البلدية
تمت ملاحظة حالة حيوان ضال ويجب التحرك في حي الرياض,حيوان ضال,البلدية
مواطن يبلغ عن بلاغ إرهابي في حي الصحافة,بلاغ إرهابي,أمن الدولة
شوهد تلوث مياه عند الحديقة في حي السلام,تلوث مياه,وزارة البيئة
اشتباه بحدوث حريق في حي الجامعة,حريق,الدفاع المدني
تم الإبلاغ عن تهريب في حي النخيل,تهريب,الجمارك
تم رصد حريق في منطقة الحديقة,حريق,الدفاع المدني
اشتباه بحدوث دهس في حي السلام,دهس,المرور
تمت ملاحظة حالة حادث مروري ويجب التحرك في حي الخليج,حادث مروري,المرور
بلاغ وارد يتضمن مخالفات تجارية في حي الخليج,مخالفات تجارية,وزارة التجارة
تمت ملاحظة حالة بلاغ إرهابي ويجب التحرك في حي النرجس,بلاغ إرهابي,أمن الدولة
وجود حريق وتم طلب التدخل في حي الفلاح,حريق,الدفاع المدني
تمت ملاحظة حالة تهريب ويجب التحرك في حي الفلاح,تهريب,الجمارك
مواطن يبلغ عن حريق في حي الورد,حريق,الدفاع المدني
مواطن يبلغ عن تسرب غاز في حي الخليج,تسرب غاز,الدفاع المدني
تم رصد مشاجرة في منطقة المنطقة السكنية,مشاجرة,الشرطة
بلاغ عن غذاء فاسد في حي الصحافة بالقرب من المستشفى,غذاء فاسد,هيئة الغذاء والدواء
شوهد حادثة بحرية عند المركز التجاري في حي الياسمين,حادثة بحرية,حرس الحدود
بلاغ عاجل عن تعطل طريق سريع الآن في حي النخيل,تعطل طريق سريع,المرور
تم رصد غرق في منطقة السوق,غرق,حرس الحدود
بلاغ عن حيوان ضال في حي الرياض بالقرب من المركز التجاري,حيوان ضال,البلدية
اشتباه بحدوث غذاء فاسد في حي الخليج,غذاء فاسد,هيئة الغذاء والدواء
تمت ملاحظة حالة ازدحام مروري ويجب التحرك في حي الجامعة,ازدحام مروري,المرور
وجود حيوان ضال وتم طلب التدخل في حي النرجس,حيوان ضال,البلدية
بلاغ عن تهريب في حي الرياض بالقرب من الطريق السريع,تهريب,الجمارك
بلاغ عن غذاء فاسد في حي الصحافة بالقرب من السوق,غذاء فاسد,هيئة الغذاء والدواء
تمت ملاحظة حالة غذاء فاسد ويجب التحرك في حي الياسمين,غذاء فاسد,هيئة الغذاء والدواء
تم الإبلاغ عن حادثة بحرية في حي الجامعة,حادثة بحرية,حرس الحدود
وجود حيوان ضال وتم طلب التدخل في حي الخليج,حيوان ضال,البلدية
اشتباه بحدوث غرق في حي الصحافة,غرق,حرس الحدود
تم الإبلاغ عن حيوان ضال في حي الرياض,حيوان ضال,البلدية
وجود حريق وتم طلب التدخل في حي النخيل,حريق,الدفاع المدني
بلاغ عاجل عن انقلاب مركبة الآن في حي الخليج,انقلاب مركبة,المرور
بلاغ عن تلوث مياه في حي السلام بالقرب من المدرسة,تلوث مياه,وزارة البيئة
بلاغ عن غذاء فاسد في حي الفلاح بالقرب من الحديقة,غذاء فاسد,هيئة الغذاء والدواء
بلاغ عاجل عن حريق الآن في حي السلام,حريق,الدفاع المدني
تمت ملاحظة حالة انفجار ويجب التحرك في حي الخليج,انفجار,الدفاع المدني
وجود مواد منتهية وتم طلب التدخل في حي الرياض,مواد منتهية,وزارة التجارة
وجود تهديد أمني وتم طلب التدخل في حي الفلاح,تهديد أمني,أمن الدولة
بلاغ وارد يتضمن حادثة بحرية في حي الرياض,حادثة بحرية,حرس الحدود
بلاغ عاجل عن غذاء فاسد الآن في حي الورد,غذاء فاسد,هيئة الغذاء والدواء
شوهد غذاء فاسد عند المركز التجاري في حي النخيل,غذاء فاسد,هيئة الغذاء والدواء
تم رصد مواد منتهية في منطقة الحديقة,مواد منتهية,وزارة التجارة
وجود تهريب وتم طلب التدخل في حي الجامعة,تهريب,الجمارك
بلاغ عاجل عن تهديد أمني الآن في حي الفلاح,تهديد أمني,أمن الدولة
بلاغ عن دهس في حي الفلاح بالقرب من الطريق السريع,دهس,المرور
اشتباه بحدوث تلوث مياه في حي النخيل,تلوث مياه,وزارة البيئة
اشتباه بحدوث مخالفات تجارية في حي النرجس,مخالفات تجارية,وزارة التجارة
اشتباه بحدوث حيوان ضال في حي الورد,حيوان ضال,البلدية
شوهد تهريب عند المدرسة في حي الخليج,تهريب,الجمارك
تم رصد مخالفات تجارية في منطقة السوق,مخالفات تجارية,وزارة التجارة
تم الإبلاغ عن بلاغ إرهابي في حي النرجس,بلاغ إرهابي,أمن الدولة
تمت ملاحظة حالة تهريب ويجب التحرك في حي الفلاح,تهريب,الجمارك
تمت ملاحظة حالة غذاء فاسد ويجب التحرك في حي النخيل,غذاء فاسد,هيئة الغذاء والدواء
وجود مخالفات تجارية وتم طلب التدخل في حي الجامعة,مخالفات تجارية,وزارة التجارة
تم الإبلاغ عن مخالفات تجارية في حي الفلاح,مخالفات تجارية,وزارة التجارة
اشتباه بحدوث حادثة بحرية في حي السلام,حادثة بحرية,حرس الحدود
تم رصد انقلاب مركبة في منطقة المجمع التجاري,انقلاب مركبة,المرور
بلاغ عن حريق في حي السلام بالقرب من الحديقة,حريق,الدفاع المدني
مواطن يبلغ عن مخالفات تجارية في حي الجامعة,مخالفات تجارية,وزارة التجارة
تمت ملاحظة حالة تهريب ويجب التحرك في حي الرياض,تهريب,الجمارك
وجود تلوث مياه وتم طلب التدخل في حي الجامعة,تلوث مياه,وزارة البيئة
مواطن يبلغ عن حادث مروري في حي الفلاح,حادث مروري,المرور
مواطن يبلغ عن غذاء فاسد في حي الرياض,غذاء فاسد,هيئة الغذاء والدواء
تم رصد حادثة بحرية في منطقة المجمع التجاري,حادثة بحرية,حرس الحدود
تم الإبلاغ عن دهس في حي السلام,دهس,المرور
وجود مواد منتهية وتم طلب التدخل في حي الورد,مواد منتهية,وزارة التجارة
بلاغ وارد يتضمن تلوث مياه في حي الفلاح,تلوث مياه,وزارة البيئة
تم الإبلاغ عن حريق في حي الخليج,حريق,الدفاع المدني
بلاغ وارد يتضمن تسرب غاز في حي النخيل,تسرب غاز,الدفاع المدني
بلاغ عن حيوان ضال في حي الجامعة بالقرب من المجمع التجاري,حيوان ضال,البلدية
شوهد تهديد أمني عند المسجد في حي السلام,تهديد أمني,أمن الدولة
اشتباه بحدوث مواد منتهية في حي الفلاح,مواد منتهية,وزارة التجارة
بلاغ عاجل عن تهريب الآن في حي الورد,تهريب,الجمارك
وجود اقتحام منزل وتم طلب التدخل في حي الرياض,اقتحام منزل,الشرطة
تمت ملاحظة حالة تهريب ويجب التحرك في حي الفلاح,تهريب,الجمارك
بلاغ وارد يتضمن تلوث مياه في حي الورد,تلوث مياه,وزارة البيئة
بلاغ وارد يتضمن ماس كهربائي في حي الياسمين,ماس كهربائي,الدفاع المدني
مواطن يبلغ عن تهريب في حي النخيل,تهريب,الجمارك
وجود غذاء فاسد وتم طلب التدخل في حي الخليج,غذاء فاسد,هيئة الغذاء والدواء
تم رصد غذاء فاسد في منطقة المنطقة الصناعية,غذاء فاسد,هيئة الغذاء والدواء
تم رصد غذاء فاسد في منطقة المسجد,غذاء فاسد,هيئة الغذاء والدواء
وجود تهريب وتم طلب التدخل في حي الفلاح,تهريب,الجمارك
تم الإبلاغ عن تلوث مياه في حي السلام,تلوث مياه,وزارة البيئة
تمت ملاحظة حالة بلاغ إرهابي ويجب التحرك في حي الصحافة,بلاغ إرهابي,أمن الدولة
تم رصد حادثة بحرية في منطقة المستشفى,حادثة بحرية,حرس الحدود
شوهد بلاغ إرهابي عند المسجد في حي الخليج,بلاغ إرهابي,أمن الدولة
بلاغ عن تلوث مياه في حي الصحافة بالقرب من المسجد,تلوث مياه,وزارة البيئة
تم رصد حادثة بحرية في منطقة الحديقة,حادثة بحرية,حرس الحدود
تم الإبلاغ عن تهديد أمني في حي الياسمين,تهديد أمني,أمن الدولة
اشتباه بحدوث ازدحام مروري في حي الجامعة,ازدحام مروري,المرور
تمت ملاحظة حالة تعطل طريق سريع ويجب التحرك في حي الصحافة,تعطل طريق سريع,المرور
مواطن يبلغ عن غرق في حي الصحافة,غرق,حرس الحدود
اشتباه بحدوث إزعاج سكني في حي النرجس,إزعاج سكني,الشرطة
بلاغ عن غذاء فاسد في حي النخيل بالقرب من المسجد,غذاء فاسد,هيئة الغذاء والدواء
بلاغ عاجل عن انفجار الآن في حي الياسمين,انفجار,الدفاع المدني
تمت ملاحظة حالة غرق ويجب التحرك في حي الخليج,غرق,حرس الحدود
وجود حادثة بحرية وتم طلب التدخل في حي الخليج,حادثة بحرية,حرس الحدود
بلاغ وارد يتضمن تلوث مياه في حي النخيل,تلوث مياه,وزارة البيئة
وجود حادث مروري وتم طلب التدخل في حي السلام,حادث مروري,المرور
مواطن يبلغ عن تهديد أمني في حي الخليج,تهديد أمني,أمن الدولة
تمت ملاحظة حالة تهديد أمني ويجب التحرك في حي الفلاح,تهديد أمني,أمن الدولة
بلاغ عاجل عن حادث مروري الآن في حي السلام,حادث مروري,المرور
تم الإبلاغ عن ازدحام مروري في حي الجامعة,ازدحام مروري,المرور
وجود تهريب وتم طلب التدخل في حي الورد,تهريب,الجمارك
تم الإبلاغ عن تهريب في حي النرجس,تهريب,الجمارك
تم الإبلاغ عن تلوث مياه في حي الياسمين,تلوث مياه,وزارة البيئة
شوهد اقتحام منزل عند الحديقة في حي الفلاح,اقتحام منزل,الشرطة
تم الإبلاغ عن غذاء فاسد في حي الورد,غذاء فاسد,هيئة الغذاء والدواء
تم رصد حيوان ضال في منطقة المركز التجاري,حيوان ضال,البلدية
اشتباه بحدوث مواد منتهية في حي الياسمين,مواد منتهية,وزارة التجارة
تم رصد تهريب في منطقة المنطقة السكنية,تهريب,الجمارك
تم رصد تهريب في منطقة الحديقة,تهريب,الجمارك
تم الإبلاغ عن تسرب غاز في حي الفلاح,تسرب غاز,الدفاع المدني
شوهد مشاجرة عند المنطقة السكنية في حي الصحافة,مشاجرة,الشرطة
شوهد سطو مسلح عند المنطقة السكنية في حي الياسمين,سطو مسلح,الشرطة
تمت ملاحظة حالة تهريب ويجب التحرك في حي الياسمين,تهريب,الجمارك
تم رصد إزعاج سكني في منطقة المجمع التجاري,إزعاج سكني,الشرطة
بلاغ عاجل عن انفجار الآن في حي الصحافة,انفجار,الدفاع المدني
بلاغ عن تلوث مياه في حي الورد بالقرب من المستشفى,تلوث مياه,وزارة البيئة
بلاغ وارد يتضمن حادثة بحرية في حي الفلاح,حادثة بحرية,حرس الحدود
تم الإبلاغ عن تهريب في حي الفلاح,تهريب,الجمارك
بلاغ وارد يتضمن دهس في حي الصحافة,دهس,المرور
وجود حريق وتم طلب التدخل في حي الياسمين,حريق,الدفاع المدني
وجود تلوث مياه وتم طلب التدخل في حي النرجس,تلوث مياه,وزارة البيئة
شوهد تلوث مياه عند المدرسة في حي الخليج,تلوث مياه,وزارة البيئة
مواطن يبلغ عن مخالفات تجارية في حي الرياض,مخالفات تجارية,وزارة التجارة
بلاغ وارد يتضمن غذاء فاسد في حي السلام,غذاء فاسد,هيئة الغذاء والدواء
تم رصد تهديد أمني في منطقة الحديقة,تهديد أمني,أمن الدولة
بلاغ وارد يتضمن تهديد أمني في حي الرياض,تهديد أمني,أمن الدولة
اشتباه بحدوث تهريب في حي الورد,تهريب,الجمارك
بلاغ عاجل عن تعطل طريق سريع الآن في حي النرجس,تعطل طريق سريع,المرور
اشتباه بحدوث إزعاج سكني في حي النخيل,إزعاج سكني,الشرطة
بلاغ عن انقلاب مركبة في حي السلام بالقرب من السوق,انقلاب مركبة,المرور
بلاغ عن حادثة بحرية في حي الورد بالقرب من المسجد,حادثة بحرية,حرس الحدود
شوهد تلوث مياه عند الحديقة في حي السلام,تلوث مياه,وزارة البيئة
تم رصد تهريب في منطقة المجمع التجاري,تهريب,الجمارك
بلاغ عن اقتحام منزل في حي السلام بالقرب من المدرسة,اقتحام منزل,الشرطة
اشتباه بحدوث تهديد أمني في حي الجامعة,تهديد أمني,أمن الدولة
شوهد فقدان طفل عند المستشفى في حي الرياض,فقدان طفل,الشرطة
تم الإبلاغ عن ازدحام مروري في حي الخليج,ازدحام مروري,المرور
تم رصد تلوث مياه في منطقة الطريق السريع,تلوث مياه,وزارة البيئة
بلاغ عاجل عن دهس الآن في حي السلام,دهس,المرور
تم رصد تلوث مياه في منطقة الحديقة,تلوث مياه,وزارة البيئة
بلاغ عن انقلاب مركبة في حي الفلاح بالقرب من المستشفى,انقلاب مركبة,المرور
شوهد تلوث مياه عند المنطقة السكنية في حي الرياض,تلوث مياه,وزارة البيئة
اشتباه بحدوث غذاء فاسد في حي الورد,غذاء فاسد,هيئة الغذاء والدواء
بلاغ عن تسرب غاز في حي النخيل بالقرب من المركز التجاري,تسرب غاز,الدفاع المدني
تم رصد تلوث مياه في منطقة الطريق السريع,تلوث مياه,وزارة البيئة
بلاغ عاجل عن تسرب غاز الآن في حي الخليج,تسرب غاز,الدفاع المدني
تمت ملاحظة حالة تعطل طريق سريع ويجب التحرك في حي الجامعة,تعطل طريق سريع,المرور
بلاغ عاجل عن تهريب الآن في حي الياسمين,تهريب,الجمارك
بلاغ وارد يتضمن غذاء فاسد في حي النخيل,غذاء فاسد,هيئة الغذاء والدواء
بلاغ عاجل عن حادثة بحرية الآن في حي الرياض,حادثة بحرية,حرس الحدود
بلاغ وارد يتضمن تهديد أمني في حي الفلاح,تهديد أمني,أمن الدولة
تمت ملاحظة حالة تلوث مياه ويجب التحرك في حي الخليج,تلوث مياه,وزارة البيئة
